1,nyc,nice
2,xlnt,excellent
3,gud,good
4,wrst,worst
5,grt,great
6,awsm,awesome
7,vry,very
8,apric8,appreciate
9,gr8,great
10,f9,fine
11,sprb,superb
12,brlnt,briliant
13,unblvble,unbelievable
14,amzng,amazing
15,baddd,bad
